0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:51:31 +0900] "GET /%EC%95%BD%EA%B5%AD/addProduct.jsp HTTP/1.1" 200 4046
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:51:31 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:24 +0900] "GET /%EC%95%BD%EA%B5%AD/addProduct.jsp HTTP/1.1" 200 4046
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:24 +0900] "GET /%EC%95%BD%EA%B5%AD/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:24 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:24 +0900] "GET /%EC%95%BD%EA%B5%AD/addProduct.jsp HTTP/1.1" 200 4046
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:24 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:25 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:25 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:26 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:26 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:26 +0900] "GET /%EC%95%BD%EA%B5%AD/salesRegistration.jsp HTTP/1.1" 200 98139
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:26 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:27 +0900] "GET /%EC%95%BD%EA%B5%AD/salesRegistration.jsp HTTP/1.1" 200 98139
